才能名,link,発揮効果,発揮条件,発揮対象,発揮確率
荒ぶる旋風,https://dabimas.jp/kouryaku/abilities/1564127366.html,・効果1（条件1を満たすと発揮） 常時、気性が荒くなるが、 脚が少し速くなり、根性がつく ・効果2（条件1、2を満たすと発揮） ゴールまで350m以内で、 やや長い時間、脚が速くなる ・効果3（条件1、2を満たすと発揮） 特殊演出が発生する,・条件1 1200、1600、2200、2500m 中山競馬場、京都競馬場 ・条件2 騎乗指示：差し,・効果1 自分 ・効果2 自分 ・効果3 自分,100%
蘭,https://dabimas.jp/kouryaku/abilities/6568331442.html,・常時、スタミナが少し増える,・馬場状態が良 ・2000、2400m ・東京競馬場 ・芝レース,・自分,50%〜100%
有頼,https://dabimas.jp/kouryaku/abilities/5712364674.html,・常時、脚が少し速くなる,・有馬記念,・自分,100%
Ardor,https://dabimas.jp/kouryaku/abilities/4264185331.html,・常時、気性が荒くなるが、 根性がつき、 スタミナが増える,・1600～2410m ・コンディションが好調以上,・自分,50%〜100%
Ares,https://dabimas.jp/kouryaku/abilities/8785456231.html,・常時、脚が少し速くなる,・天候が晴、曇 ・東京競馬場、京都競馬場 ・コンディションが好調以上,・自分,60%〜100%
暗暗裏,https://dabimas.jp/kouryaku/abilities/7965243134.html,・効果1（条件1を満たすと発揮） 常時、気性が穏やかになる ・効果2（条件1、2を満たすと発揮） ゴールまで350m以内で、 やや長い時間、脚が速くなる,・条件1 1200～2000m 中山競馬場、京都競馬場、 メイダン競馬場 ・条件2 騎乗指示：逃げ、先行,・効果1 自分 ・効果2 自分,100%
暗香疎影,https://dabimas.jp/kouryaku/abilities/6548331462.html,・ゴールまで400m以内で、 やや長い時間、脚が速くなり、 スタミナが少し増える,・馬場状態が良、稍重 ・1600～2200m ・京都競馬場 ・騎乗指示：先行,・自分,70%〜100%
安定感,https://dabimas.jp/kouryaku/abilities/7468538712.html,・ゲートでの出遅れを抑える,・芝レース,・自分,100%
安定感,https://dabimas.jp/kouryaku/abilities/2860141583.html,・ゲートでの出遅れを抑える,・芝レース,・自分,100%
居合,https://dabimas.jp/kouryaku/abilities/1574720366.html,・ゴールまで100m以内で、短い時間 脚が少し速くなる,・中山競馬場、阪神競馬場、 京都競馬場 ・騎乗指示：追込,・自分,100%
いいこだね！,https://dabimas.jp/kouryaku/abilities/6558531432.html,・常時、気性が穏やかになる ・スタート時に、騎手の騎乗が上手くなる,・騎手が村田騎手、小坂騎手、 難波騎手、高田騎手、 蓑島騎手、山本騎手、 白浜騎手、江田勇騎手,・自分,100%
烏賊夏焼★,https://dabimas.jp/kouryaku/abilities/4962591637.html,・ゴールまで300m以内で、 やや長い時間、脚が少し速くなり、 スタミナが少し増える,・天候が晴 ・馬場状態が良 ・1800、2000m,・自分,100%
意気衝天,https://dabimas.jp/kouryaku/abilities/4217651563.html,・ゴールまで550m以内で、 長い時間、脚が少し速くなる,・1600～2400m ・中京競馬場、ロンシャン競馬場、 シャティン競馬場 ・騎乗指示：追込,・自分,100%
意気投合,https://dabimas.jp/kouryaku/abilities/4315468267.html,・鞭を入れた時に、やや長い時間 脚が少し速くなる,・騎手が池添騎手,・自分,100%
意気地,https://dabimas.jp/kouryaku/abilities/7315429267.html,・ゴールまで250m以内で、 やや長い時間、脚が速くなる,・2000～2200m ・中山競馬場、阪神競馬場 ・騎乗指示：逃げ,・自分,100%
意志,https://dabimas.jp/kouryaku/abilities/5712364881.html,・ゴールまで400m以内で、長い時間 スタミナが少し増える,・馬場状態が良 ・芝レース ・コンディションが絶好調,・自分,100%
意志,https://dabimas.jp/kouryaku/abilities/0264185371.html,・ゴールまで400m以内で、長い時間 スタミナが少し増える,・馬場状態が良 ・芝レース ・コンディションが絶好調,・自分,100%
意思疎通,https://dabimas.jp/kouryaku/abilities/2661439658.html,・鞭を入れた時に、 やや長い時間、脚が速くなる,・騎手が川田騎手,・自分,100%
以心伝心,https://dabimas.jp/kouryaku/abilities/3315478267.html,・鞭を入れた時に、やや長い時間 脚が少し速くなる,・騎手が川田騎手,・自分,100%
威譚,https://dabimas.jp/kouryaku/abilities/5814123614.html,・最後の直線で、 短い時間、脚が少し速くなり、 競り合いで疲れづらくなる,・2200～2500m ・中山競馬場、阪神競馬場、 京都競馬場 ・騎乗指示：逃げ,・自分,60%〜100%
韋駄天,https://dabimas.jp/kouryaku/abilities/4218641563.html,・スタートから200m以降で やや長い時間、脚が速くなり、 スタミナが少し増える,・ＮＨＫマイルカップ、安田記念、 マイルチャンピオンシップ ・騎乗指示：逃げ,・自分,100%
一往直前,https://dabimas.jp/kouryaku/abilities/5469539712.html,・効果1（条件1を満たすと発揮） 常時、脚が少し速くなり、 気性が穏やかになる ・効果2（条件1、2を満たすと発揮） ゴールまで350m以内で、 やや長い時間、脚が速くなり、 競り合いで疲れづらくなる,・条件1 馬場状態が良、稍重 1200～2200m 阪神競馬場、京都競馬場、 中京競馬場 ・条件2 騎乗指示：差し、追込,・効果1 自分 ・効果2 自分,100%
一撃必中♪,https://dabimas.jp/kouryaku/abilities/3264185341.html,・ゴールまで350m以内で、やや長い時間、 脚が速くなる,・天候が晴 ・2200～3200m ・阪神競馬場、京都競馬場 ・騎乗指示：差し、追込,・自分,100%
いちころ小町,https://dabimas.jp/kouryaku/abilities/8014613245.html,・ゴールまで400m以内で、 長い時間、脚が少し速くなり、 スタミナが少し増える,・阪神競馬場 ・8番手以上にいる時,・自分,100%
一日千秋♪,https://dabimas.jp/kouryaku/abilities/8675476231.html,・効果1（条件1を満たすと発揮） 常時、脚が少し速くなり、 根性がつく ・効果2（条件1、2を満たすと発揮） 最後の直線で、 やや長い時間、脚が速くなり、 競り合いで疲れづらくなる,・条件1 1800～2410m 東京競馬場、メイダン競馬場、 シャティン競馬場 ・条件2 騎乗指示：逃げ,・効果1 自分 ・効果2 自分,100%
一途な恋♪,https://dabimas.jp/kouryaku/abilities/6559731402.html,・効果1（条件1を満たすと発揮） 常時、スタミナが少し増える ・効果2（条件1、2を満たすと発揮） ゴールまで400m以内で、 やや長い時間、脚が速くなる,・条件1 馬場状態が良、稍重 1800～2200m 阪神競馬場、メイダン競馬場 ・条件2 騎乗指示：追込,・効果1 自分 ・効果2 自分,100%
一番星,https://dabimas.jp/kouryaku/abilities/5812364781.html,・ゴールまで250m以内で、 やや長い時間、脚が速くなる,・天候が晴 ・1600～2000m ・東京競馬場 ・騎乗指示：先行,・自分,50%〜100%
いち富士★,https://dabimas.jp/kouryaku/abilities/4217614573.html,・効果1 常時、脚が少し速くなり、 根性がつく ・効果2 最終コーナーで、 短い時間、脚が少し速くなり、 スタミナが少し増える ・効果3（効果2終了時） 短い時間、脚が速くなり、 スタミナが少し増える,・天候が晴、曇 ・馬場状態が良 ・2000～2400m ・東京競馬場、シャティン競馬場,・効果1 自分 ・効果2 自分 ・効果3 自分,40%〜100%
一望千里,https://dabimas.jp/kouryaku/abilities/5468539812.html,・効果1 常時、脚が少し速くなる ・効果2 最後の直線で、 やや長い時間、脚が速くなる,・馬場状態が良 ・中山競馬場 ・GI/JpnIレース ・コンディションが絶好調,・効果1 自分 ・効果2 自分,100%
一枚岩,https://dabimas.jp/kouryaku/abilities/4217604583.html,・常時、脚が少し速くなり、 スタミナが少し増え、 根性がつく,・皐月賞、日本ダービー、 菊花賞,・自分,50%〜100%
一夜艶姿♪,https://dabimas.jp/kouryaku/abilities/3452561476.html,・効果1（条件1を満たすと発揮） 常時、脚が少し速くなる ・効果2（条件1、2を満たすと発揮） ゴールまで200m以内で、 長い時間、脚が少し速くなり、 スタミナが少し増える,・条件1 1200～2000m 中山競馬場、阪神競馬場、 大井競馬場 コンディションが好調以上 ・条件2 騎乗指示：先行,・効果1 自分 ・効果2 自分,100%
一葉知秋,https://dabimas.jp/kouryaku/abilities/4219646503.html,・効果1（条件1を満たすと発揮） 常時、脚が少し速くなり、 根性がつく ・効果2（条件1、2を満たすと発揮） ゴールまで400m以内で、 長い時間、脚が速くなり、 スタミナが少し増える,・条件1 安田記念、ドバイシーマクラシック、 香港ヴァーズ ・条件2 騎乗指示：追込,・効果1 自分 ・効果2 自分,100%
一蓮托生,https://dabimas.jp/kouryaku/abilities/4218631573.html,・鞭を入れた時に、やや長い時間 脚が少し速くなる,・騎手が岩田騎手,・自分,100%
一球入魂,https://dabimas.jp/kouryaku/abilities/5315438269.html,・ゴールまで100m以内で、 短い時間、脚が速くなる,・馬場状態が良、稍重 ・1800、2400m ・東京競馬場、メイダン競馬場 ・芝レース ・騎乗指示：先行,・自分,100%
一球入魂,https://dabimas.jp/kouryaku/abilities/6685486231.html,・ゴールまで100m以内で、 短い時間、脚が速くなる,・馬場状態が良、稍重 ・1800、2400m ・東京競馬場、メイダン競馬場 ・芝レース ・騎乗指示：先行,・自分,100%
一生懸命,https://dabimas.jp/kouryaku/abilities/1725749639.html,・効果1（条件1を満たすと発揮） 常時、スタミナが少し増える ・効果2（条件1、2を満たすと発揮） 最後の直線で、 やや長い時間、脚が速くなる,・条件1 馬場状態が良、稍重 1200、1600、2000m 東京競馬場、阪神競馬場、 京都競馬場 芝レース コンディションが絶好調 ・条件2 騎乗指示：逃げ、先行,・効果1 自分 ・効果2 自分,100%
一心同体,https://dabimas.jp/kouryaku/abilities/8565243173.html,・鞭を入れた時に、やや長い時間 脚が少し速くなる,・騎手が三浦騎手,・自分,100%
一心不乱,https://dabimas.jp/kouryaku/abilities/6568531422.html,・効果1（条件1を満たすと発揮） 常時、気性が荒くなる ・効果2（条件1、2を満たすと発揮） ゴールまで200m以内で、 短い時間、脚が少し速くなる,・条件1 高松宮記念 ・条件2 騎乗指示：逃げ,・効果1 自分 ・効果2 自分,70%〜100%
一炊之夢♪,https://dabimas.jp/kouryaku/abilities/6467539812.html,・効果1（条件1を満たすと発揮） 常時、スタミナが少し増え、 根性がつく ・効果2（条件1、2を満たすと発揮） ゴールまで325m以内で、 やや長い時間、脚が速くなり、 競り合いで疲れづらくなる,・条件1 馬場状態が良、稍重 2000～2500m 中山競馬場、京都競馬場、 シャティン競馬場 ・条件2 騎乗指示：逃げ,・効果1 自分 ・効果2 自分,100%
一隻眼,https://dabimas.jp/kouryaku/abilities/1544724356.html,・ゴールまで300m以内で、 やや長い時間、脚が速くなり、 スタミナが少し増える,・2400、3200m ・騎乗指示：追込,・自分,100%
一閃,https://dabimas.jp/kouryaku/abilities/6351124181.html,・ゴールまで100m以内で、 短い時間、脚が少し速くなる,・中山競馬場、阪神競馬場、 京都競馬場 ・騎乗指示：追込,・自分,100%
一超直入,https://dabimas.jp/kouryaku/abilities/9264175300.html,・効果1（条件1を満たすと発揮） 常時、スタミナが少し増える ・効果2（条件1、2を満たすと発揮） ゴールまで300m以内で、 やや長い時間、脚が速くなる,・条件1 馬場状態が良 1600m 東京競馬場 ・条件2 騎乗指示：差し、追込,・効果1 自分 ・効果2 自分,100%
一刀両断,https://dabimas.jp/kouryaku/abilities/6712364574.html,・効果1 最終コーナーで 特殊演出が発生する ・効果2 特殊演出が発生し、 長い時間経過後、短い時間 脚が速くなる,・1800、2200、2500、3000m ・中山競馬場、京都競馬場、 メイダン競馬場 ・芝レース ・騎乗指示：差し,・効果1 自分 ・効果2 自分,100%
一歩前進★,https://dabimas.jp/kouryaku/abilities/0264195352.html,・効果1（条件1を満たすと発揮） 常時、脚が少し速くなり、 スタミナが少し増える ・効果2（条件1、2を満たすと発揮） ゴールまで350m以内で、 やや長い時間、脚が速くなり、 競り合いで疲れづらくなる,・条件1 1600～2000m 阪神競馬場、京都競馬場、 メイダン競馬場、シャティン競馬場、 大井競馬場 ・条件2 騎乗指示：逃げ,・効果1 自分 ・効果2 自分,100%
一本気,https://dabimas.jp/kouryaku/abilities/1264175317.html,・ゴールまで300m以内で、 長い時間、脚が速くなる,・天候が晴、曇 ・1600、2200、2400m ・東京競馬場、阪神競馬場 ・騎乗指示：差し,・自分,100%
偽ノ装,https://dabimas.jp/kouryaku/abilities/4211608693.html,・ゴールまで300m以内で、 やや長い時間、脚が少し速くなり、 競り合いで疲れづらくなる,・馬場状態が良、稍重 ・中山競馬場、阪神競馬場,・自分,100%
凍雲,https://dabimas.jp/kouryaku/abilities/5427165213.html,・最後の直線で、 やや長い時間、脚が少し速くなり、 スタミナが少し増える,・1200～2000m ・中山競馬場、東京競馬場、 京都競馬場 ・騎乗指示：逃げ,・自分,40%〜100%
稲妻,https://dabimas.jp/kouryaku/abilities/7865243144.html,・ゴールまで425m以内で、 やや長い時間、脚が速くなり、 スタミナが少し増える,・2000、3000、3200m ・東京競馬場、阪神競馬場、 京都競馬場 ・コンディションが絶好調 ・騎乗指示：先行,・自分,100%
意欲,https://dabimas.jp/kouryaku/abilities/7315458265.html,・常時、脚が少し速くなり、 スタミナが少し増える,・有馬記念,・自分,30%〜100%
光煌祭典★,https://dabimas.jp/kouryaku/abilities/1484721356.html,・効果1（条件1を満たすと発揮） 常時、脚が少し速くなる ・効果2（条件1、2を満たすと発揮） ゴールまで300m以内で、 やや長い時間、脚が速くなる,・条件1 1200～1800m 中山競馬場、東京競馬場、 京都競馬場、中京競馬場 ・条件2 騎乗指示：差し,・効果1 自分 ・効果2 自分,100%
祝之唱歌♪,https://dabimas.jp/kouryaku/abilities/2681436857.html,・ゴールまで200m以内で、 やや長い時間、脚が速くなり、 競り合いで疲れづらくなる,・2000～2410m ・東京競馬場、メイダン競馬場,・自分,100%
祝いの鐘★,https://dabimas.jp/kouryaku/abilities/3126943050.html,・効果1（条件1を満たすと発揮） 常時、脚が少し速くなり、 根性がつき、気性が穏やかになる ・効果2（条件1、2を満たすと発揮） ゴールまで350m以内で、 やや長い時間、脚が速くなり、 スタミナが少し増える,・条件1 2400～2500m 中山競馬場、ロンシャン競馬場、 メイダン競馬場、シャティン競馬場 ・条件2 騎乗指示：逃げ,・効果1 自分 ・効果2 自分,100%
岩砂流,https://dabimas.jp/kouryaku/abilities/0315498268.html,・ゴールまで400m以内で、 やや長い時間、脚が少し速くなり、 スタミナが少し増える,・馬場状態が良、稍重 ・メイダン競馬場、大井競馬場,・自分,70%〜100%
秘想上昇中★,https://dabimas.jp/kouryaku/abilities/6537931422.html,・効果1（条件1を満たすと発揮） 常時、根性がつき、 気性が穏やかになる ・効果2（条件1、2を満たすと発揮） 最終コーナーで、 やや長い時間、脚が少し速くなる ・効果3（条件1、2を満たすと発揮） 最終コーナーで、 やや長い時間、以下のどれかを発揮する 脚が速くなる 競り合いで疲れづらくなる,・条件1 2200、2400m 東京競馬場、京都競馬場、 ロンシャン競馬場 ・条件2 騎乗指示：逃げ,・効果1 自分 ・効果2 自分 ・効果3 自分,100%
悪魔囁声,https://dabimas.jp/kouryaku/abilities/0236213614.html,・常時、根性が弱くなるが、 スタミナが増える,・馬場状態が重、不良 ・2500～3200m,・自分,100%
新年★迎祝,https://dabimas.jp/kouryaku/abilities/2614538217.html,・効果1（条件1を満たすと発揮） 常時、脚が少し速くなり、 根性がつき、気性が穏やかになる ・効果2（条件1、2を満たすと発揮） 最終コーナーで、 やや長い時間、脚が少し速くなり、 スタミナが少し増える ・効果3（効果2終了時） 短い時間、脚が速くなり、 スタミナが少し増える,・条件1 天候が晴、曇 1600、2400m 東京競馬場、阪神競馬場、 京都競馬場 ・条件2 騎乗指示：逃げ,・効果1 自分 ・効果2 自分 ・効果3 自分,50%〜100%
うざーい,https://dabimas.jp/kouryaku/abilities/2169145613.html,・最後の直線で、 やや長い時間、脚が少し速くなり、 スタミナが少し増える,・中京競馬場、メイダン競馬場、 大井競馬場 ・ダートレース ・コンディションが好調以上,・自分,100%
汐の天使♪,https://dabimas.jp/kouryaku/abilities/5714623610.html,・効果1（条件1を満たすと発揮） 常時、気性が穏やかになる ・効果2（条件1、2を満たすと発揮） 最後の直線で、 やや長い時間、脚が速くなる,・条件1 天候が晴 2000、2500m 芝レース ・条件2 騎乗指示：逃げ、先行、差し,・効果1 自分 ・効果2 自分,100%
薄氷,https://dabimas.jp/kouryaku/abilities/8132546738.html,・常時、脚が少し速くなり、 スタミナが少し増え、 気性が穏やかになる,・有馬記念,・自分,50%〜80%
泡沫,https://dabimas.jp/kouryaku/abilities/4217621593.html,・常時、スタミナが増え、 気性が穏やかになる,・馬場状態が良、不良 ・2000～3200m ・阪神競馬場、京都競馬場,・自分,50%〜100%
空蝉,https://dabimas.jp/kouryaku/abilities/9214858362.html,・ゴールまで250m以内で、 短い時間、脚が少し速くなり、 競り合いで疲れづらくなる,・天候が晴 ・馬場状態が良、稍重 ・2000～2500m ・騎乗指示：逃げ ・6番手以上にいる時,・自分,60%〜100%
UDO,https://dabimas.jp/kouryaku/abilities/1211660473.html,・効果1（条件1を満たすと発揮） 常時、根性がつく ・効果2（条件1、2を満たすと発揮） 最後の直線で、 やや長い時間、脚が速くなり、 競り合いで疲れづらくなる,・条件1 阪神競馬場、京都競馬場、 中京競馬場 芝レース ・条件2 騎乗指示：逃げ、先行 5番手以上にいる時,・効果1 自分 ・効果2 自分,100%
UDO,https://dabimas.jp/kouryaku/abilities/5264175322.html,・効果1（条件1を満たすと発揮） 常時、根性がつく ・効果2（条件1、2を満たすと発揮） 最後の直線で、 やや長い時間、脚が速くなり、 競り合いで疲れづらくなる,・条件1 阪神競馬場、京都競馬場、 中京競馬場 芝レース ・条件2 騎乗指示：逃げ、先行 5番手以上にいる時,・効果1 自分 ・効果2 自分,100%
馬神様慈愛,https://dabimas.jp/kouryaku/abilities/6539731422.html,・効果1（条件1を満たすと発揮） 常時、スタミナが少し増え、 根性がつき、気性が穏やかになる ・効果2（条件1、2を満たすと発揮） ゴールまで350m以内で、 長い時間、脚が速くなり、 スタミナが少し増える,・条件1 天候が晴、曇 2000～3200m 京都競馬場、函館競馬場、 札幌競馬場 ・条件2 騎乗指示：先行、差し,・効果1 自分 ・効果2 自分,100%
馬神様御力,https://dabimas.jp/kouryaku/abilities/3214759368.html,・効果1（条件1を満たすと発揮） 常時、根性がつく ・効果2（条件1、2を満たすと発揮） ゴールまで450m以内で、 やや長い時間、脚が速くなる,・条件1 2400～2410m ・条件2 騎乗指示：逃げ,・効果1 自分 ・効果2 自分,100%
UMAの誇り,https://dabimas.jp/kouryaku/abilities/0438465213.html,・効果1 最後の直線で、やや長い時間、 脚が少し速くなる ・効果2 最後の直線で、やや長い時間、 特殊演出が発生する,・1200、1800、2000、2400m ・阪神競馬場、京都競馬場、 函館競馬場、ロンシャン競馬場、 シャティン競馬場 ・騎乗指示：逃げ,・効果1 自分 ・効果2 自分,100%
海色はむリン,https://dabimas.jp/kouryaku/abilities/6518831442.html,・ゴールまで400m以内で、 短い時間、脚が少し速くなり、 スタミナが少し増える,・天候が晴 ・1000、1200、2000m ・東京競馬場、新潟競馬場、 福島競馬場、中京競馬場 ・騎乗指示：逃げ,・自分,100%
海辺ノ微風,https://dabimas.jp/kouryaku/abilities/1664721356.html,・常時、脚が少し速くなり、 スタミナが少し増え、 根性がつく,・天候が晴、曇 ・馬場状態が良、稍重 ・コンディションが好調以上,・自分,100%
羽翼導引,https://dabimas.jp/kouryaku/abilities/3452571376.html,・ゴールまで200m以内で、 短い時間、脚が速くなり、 スタミナが少し増える,・1200～2200m ・東京競馬場、阪神競馬場、 中京競馬場 ・コンディションが好調以上 ・5番人気以上の時,・自分,100%
